"Census Data API: Variables in /data/1990/sf3/variables
Name",Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Values
H0120010,Renter occupied: Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0130001,Owner occupied: 15 to 24 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130002,Owner occupied: 25 to 34 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130003,Owner occupied: 35 to 44 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130004,Owner occupied: 45 to 54 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130005,Owner occupied: 55 to 64 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130006,Owner occupied: 65 to 74 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130007,Owner occupied: 75 years and over,Housing Subjects,not required, ,0,int,N/A,N/A
H0130008,Renter occupied: 15 to 24 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130009,Renter occupied: 25 to 34 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130010,Renter occupied: 35 to 44 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130011,Renter occupied: 45 to 54 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130012,Renter occupied: 55 to 64 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130013,Renter occupied: 65 to 74 years,Housing Subjects,not required, ,0,int,N/A,N/A
H0130014,Renter occupied: 75 years and over,Housing Subjects,not required, ,0,int,N/A,N/A
H0140001,Owner occupied: White,Housing Subjects,not required, ,0,int,N/A,N/A
H0140002,Owner occupied: Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0140003,"Owner occupied: Amer Ind, Eskimo, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0140004,"Owner occupied: Asian, Pacific Islander",Housing Subjects,not required, ,0,int,N/A,N/A
H0140005,Owner occupied: Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0140006,Renter occupied: White,Housing Subjects,not required, ,0,int,N/A,N/A
H0140007,Renter occupied: Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0140008,"Renter occupied: Amer Ind, Eskimo, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0140009,"Renter occupied: Asian, Pacific Islander",Housing Subjects,not required, ,0,int,N/A,N/A
H0140010,Renter occupied: Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0150001,Total: Owner occupied,Housing Subjects,not required, ,0,int,N/A,N/A
H0150002,Total: Renter occupied,Housing Subjects,not required, ,0,int,N/A,N/A
H0160001,ROOMS[9] 1 room,Housing Subjects,not required, ,0,int,N/A,N/A
H0160002,ROOMS[9] 2 rooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0160003,ROOMS[9] 3 rooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0160004,ROOMS[9] 4 rooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0160005,ROOMS[9] 5 rooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0160006,ROOMS[9] 6 rooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0160007,ROOMS[9] 7 rooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0160008,ROOMS[9] 8 rooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0160009,ROOMS[9] 9 or more rooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0170001,AGGREGATE ROOMS[1] Total,Housing Subjects,not required, ,0,int,N/A,N/A
H0180001,Owner occupied: 1 person,Housing Subjects,not required, ,0,int,N/A,N/A
H0180002,Owner occupied: 2 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180003,Owner occupied: 3 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180004,Owner occupied: 4 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180005,Owner occupied: 5 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180006,Owner occupied: 6 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180007,Owner occupied: 7 or more persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180008,Renter occupied: 1 person,Housing Subjects,not required, ,0,int,N/A,N/A
H0180009,Renter occupied: 2 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180010,Renter occupied: 3 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180011,Renter occupied: 4 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180012,Renter occupied: 5 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180013,Renter occupied: 6 persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0180014,Renter occupied: 7 or more persons,Housing Subjects,not required, ,0,int,N/A,N/A
H0190001,AGGRE PER/TENURE[2] Total: Owner occup,Housing Subjects,not required, ,0,int,N/A,N/A
H0190002,AGGRE PER/TENURE[2] Total: Renter occup,Housing Subjects,not required, ,0,int,N/A,N/A
H0200001,"Housing units 1, detached",Housing Subjects,not required, ,0,int,N/A,N/A
H0200002,"Housing units 1, attached",Housing Subjects,not required, ,0,int,N/A,N/A
H0200003,Housing units 2,Housing Subjects,not required, ,0,int,N/A,N/A
H0200004,Housing units 3 or 4,Housing Subjects,not required, ,0,int,N/A,N/A
H0200005,Housing units 5 to 9,Housing Subjects,not required, ,0,int,N/A,N/A
H0200006,Housing units 10 to 19,Housing Subjects,not required, ,0,int,N/A,N/A
H0200007,Housing units 20 to 49,Housing Subjects,not required, ,0,int,N/A,N/A
H0200008,Housing units 50 or more,Housing Subjects,not required, ,0,int,N/A,N/A
H0200009,"Housing units Mobile home, trailer",Housing Subjects,not required, ,0,int,N/A,N/A
H0200010,Housing units Other,Housing Subjects,not required, ,0,int,N/A,N/A
H0210001,"Vacant housing units 1, detached",Housing Subjects,not required, ,0,int,N/A,N/A
H0210002,"Vacant housing units 1, attached",Housing Subjects,not required, ,0,int,N/A,N/A
H0210003,Vacant housing units 2,Housing Subjects,not required, ,0,int,N/A,N/A
H0210004,Vacant housing units 3 or 4,Housing Subjects,not required, ,0,int,N/A,N/A
H0210005,Vacant housing units 5 to 9,Housing Subjects,not required, ,0,int,N/A,N/A
H0210006,Vacant housing units 10 to 19,Housing Subjects,not required, ,0,int,N/A,N/A
H0210007,Vacant housing units 20 to 49,Housing Subjects,not required, ,0,int,N/A,N/A
H0210008,Vacant housing units 50 or more,Housing Subjects,not required, ,0,int,N/A,N/A
H0210009,"Vacant housing units Mobile home, trail",Housing Subjects,not required, ,0,int,N/A,N/A
H0210010,Vacant housing units Other,Housing Subjects,not required, ,0,int,N/A,N/A
H0220001,"Owner occupied: 1, detached",Housing Subjects,not required, ,0,int,N/A,N/A
H0220002,"Owner occupied: 1, attached",Housing Subjects,not required, ,0,int,N/A,N/A
H0220003,Owner occupied: 2,Housing Subjects,not required, ,0,int,N/A,N/A
H0220004,Owner occupied: 3 or 4,Housing Subjects,not required, ,0,int,N/A,N/A
H0220005,Owner occupied: 5 to 9,Housing Subjects,not required, ,0,int,N/A,N/A
H0220006,Owner occupied: 10 to 19,Housing Subjects,not required, ,0,int,N/A,N/A
H0220007,Owner occupied: 20 to 49,Housing Subjects,not required, ,0,int,N/A,N/A
H0220008,Owner occupied: 50 or more,Housing Subjects,not required, ,0,int,N/A,N/A
H0220009,Owner occupied: Mobile home or trailer,Housing Subjects,not required, ,0,int,N/A,N/A
H0220010,Owner occupied: Other,Housing Subjects,not required, ,0,int,N/A,N/A
H0220011,"Renter occupied: 1, detached",Housing Subjects,not required, ,0,int,N/A,N/A
H0220012,"Renter occupied: 1, attached",Housing Subjects,not required, ,0,int,N/A,N/A
H0220013,Renter occupied: 2,Housing Subjects,not required, ,0,int,N/A,N/A
H0220014,Renter occupied: 3 or 4,Housing Subjects,not required, ,0,int,N/A,N/A
H0220015,Renter occupied: 5 to 9,Housing Subjects,not required, ,0,int,N/A,N/A
H0220016,Renter occupied: 10 to 19,Housing Subjects,not required, ,0,int,N/A,N/A
H0220017,Renter occupied: 20 to 49,Housing Subjects,not required, ,0,int,N/A,N/A
H0220018,Renter occupied: 50 or more,Housing Subjects,not required, ,0,int,N/A,N/A
H0220019,Renter occupied: Mobile home or trailer,Housing Subjects,not required, ,0,int,N/A,N/A
H0220020,Renter occupied: Other,Housing Subjects,not required, ,0,int,N/A,N/A
H0230001,"SOURCE OF WATER[4] Pub sys, private co",Housing Subjects,not required, ,0,int,N/A,N/A
H0230002,SOURCE OF WATER[4] Individ well: Drilled,Housing Subjects,not required, ,0,int,N/A,N/A
H0230003,SOURCE OF WATER[4] Individual well: Dug,Housing Subjects,not required, ,0,int,N/A,N/A
H0230004,SOURCE OF WATER[4] Some other source,Housing Subjects,not required, ,0,int,N/A,N/A
H0240001,SEWAGE DISPOSAL[3] Public sewer,Housing Subjects,not required, ,0,int,N/A,N/A
H0240002,"SEWAGE DISPOSAL[3] Septic tank, cesspool",Housing Subjects,not required, ,0,int,N/A,N/A
H0240003,SEWAGE DISPOSAL[3] Other means,Housing Subjects,not required, ,0,int,N/A,N/A
H0250001,YEAR STRUCTURE BUILT[8] 1989-March 1990,Housing Subjects,not required, ,0,int,N/A,N/A
H0250002,YEAR STRUCTURE BUILT[8] 1985 to 1988,Housing Subjects,not required, ,0,int,N/A,N/A
H0250003,YEAR STRUCTURE BUILT[8] 1980 to 1984,Housing Subjects,not required, ,0,int,N/A,N/A
H0250004,YEAR STRUCTURE BUILT[8] 1970 to 1979,Housing Subjects,not required, ,0,int,N/A,N/A
H0250005,YEAR STRUCTURE BUILT[8] 1960 to 1969,Housing Subjects,not required, ,0,int,N/A,N/A
H0250006,YEAR STRUCTURE BUILT[8] 1950 to 1959,Housing Subjects,not required, ,0,int,N/A,N/A
H0250007,YEAR STRUCTURE BUILT[8] 1940 to 1949,Housing Subjects,not required, ,0,int,N/A,N/A
H0250008,YEAR STRUCTURE BUILT[8] 1939 or earlier,Housing Subjects,not required, ,0,int,N/A,N/A
H025A001,Median year structure built,Housing Subjects,not required, ,0,int,N/A,N/A
H0260001,YR STRUCT BUILT[8] 1989 to March 1990,Housing Subjects,not required, ,0,int,N/A,N/A
H0260002,YR STRUCT BUILT[8] 1985 to 1988,Housing Subjects,not required, ,0,int,N/A,N/A
H0260003,YR STRUCT BUILT[8] 1980 to 1984,Housing Subjects,not required, ,0,int,N/A,N/A
H0260004,YR STRUCT BUILT[8] 1970 to 1979,Housing Subjects,not required, ,0,int,N/A,N/A
H0260005,YR STRUCT BUILT[8] 1960 to 1969,Housing Subjects,not required, ,0,int,N/A,N/A
H0260006,YR STRUCT BUILT[8] 1950 to 1959,Housing Subjects,not required, ,0,int,N/A,N/A
H0260007,YR STRUCT BUILT[8] 1940 to 1949,Housing Subjects,not required, ,0,int,N/A,N/A
H0260008,YR STRUCT BUILT[8] 1939 or earlier,Housing Subjects,not required, ,0,int,N/A,N/A
H0270001,Owner occupied: 1989 to March 1990,Housing Subjects,not required, ,0,int,N/A,N/A
H0270002,Owner occupied: 1985 to 1988,Housing Subjects,not required, ,0,int,N/A,N/A
H0270003,Owner occupied: 1980 to 1984,Housing Subjects,not required, ,0,int,N/A,N/A
H0270004,Owner occupied: 1970 to 1979,Housing Subjects,not required, ,0,int,N/A,N/A
H0270005,Owner occupied: 1960 to 1969,Housing Subjects,not required, ,0,int,N/A,N/A
H0270006,Owner occupied: 1950 to 1959,Housing Subjects,not required, ,0,int,N/A,N/A
H0270007,Owner occupied: 1940 to 1949,Housing Subjects,not required, ,0,int,N/A,N/A
H0270008,Owner occupied: 1939 or earlier,Housing Subjects,not required, ,0,int,N/A,N/A
H0270009,Renter occupied: 1989 to March 1990,Housing Subjects,not required, ,0,int,N/A,N/A
H0270010,Renter occupied: 1985 to 1988,Housing Subjects,not required, ,0,int,N/A,N/A
H0270011,Renter occupied: 1980 to 1984,Housing Subjects,not required, ,0,int,N/A,N/A
H0270012,Renter occupied: 1970 to 1979,Housing Subjects,not required, ,0,int,N/A,N/A
H0270013,Renter occupied: 1960 to 1969,Housing Subjects,not required, ,0,int,N/A,N/A
H0270014,Renter occupied: 1950 to 1959,Housing Subjects,not required, ,0,int,N/A,N/A
H0270015,Renter occupied: 1940 to 1949,Housing Subjects,not required, ,0,int,N/A,N/A
H0270016,Renter occupied: 1939 or earlier,Housing Subjects,not required, ,0,int,N/A,N/A
H0280001,YR HH MOVE INTO UNIT[6] 1989 to Mar 1990,Housing Subjects,not required, ,0,int,N/A,N/A
H0280002,YR HH MOVE INTO UNIT[6] 1985 to 1988,Housing Subjects,not required, ,0,int,N/A,N/A
H0280003,YR HH MOVE INTO UNIT[6] 1980 to 1984,Housing Subjects,not required, ,0,int,N/A,N/A
H0280004,YR HH MOVE INTO UNIT[6] 1970 to 1979,Housing Subjects,not required, ,0,int,N/A,N/A
H0280005,YR HH MOVE INTO UNIT[6] 1960 to 1969,Housing Subjects,not required, ,0,int,N/A,N/A
H0280006,YR HH MOVE INTO UNIT[6] 1959 or earlier,Housing Subjects,not required, ,0,int,N/A,N/A
H0290001,Owner occupied: 1989 to March 1990,Housing Subjects,not required, ,0,int,N/A,N/A
H0290002,Owner occupied: 1985 to 1988,Housing Subjects,not required, ,0,int,N/A,N/A
H0290003,Owner occupied: 1980 to 1984,Housing Subjects,not required, ,0,int,N/A,N/A
H0290004,Owner occupied: 1970 to 1979,Housing Subjects,not required, ,0,int,N/A,N/A
H0290005,Owner occupied: 1960 to 1969,Housing Subjects,not required, ,0,int,N/A,N/A
H0290006,Owner occupied: 1959 or earlier,Housing Subjects,not required, ,0,int,N/A,N/A
H0290007,Renter occupied: 1989 to March 1990,Housing Subjects,not required, ,0,int,N/A,N/A
H0290008,Renter occupied: 1985 to 1988,Housing Subjects,not required, ,0,int,N/A,N/A
H0290009,Renter occupied: 1980 to 1984,Housing Subjects,not required, ,0,int,N/A,N/A
H0290010,Renter occupied: 1970 to 1979,Housing Subjects,not required, ,0,int,N/A,N/A
H0290011,Renter occupied: 1960 to 1969,Housing Subjects,not required, ,0,int,N/A,N/A
H0290012,Renter occupied: 1959 or earlier,Housing Subjects,not required, ,0,int,N/A,N/A
H0300001,HOUSE HEATING FUEL[9] Utility gas,Housing Subjects,not required, ,0,int,N/A,N/A
H0300002,"HOUSE HEAT FUEL[9] Bottle, tank, LP gas",Housing Subjects,not required, ,0,int,N/A,N/A
H0300003,HOUSE HEATING FUEL[9] Electricity,Housing Subjects,not required, ,0,int,N/A,N/A
H0300004,"HOUSE HEAT FUEL[9] Fuel oil, kero, etc",Housing Subjects,not required, ,0,int,N/A,N/A
H0300005,HOUSE HEATING FUEL[9] Coal or coke,Housing Subjects,not required, ,0,int,N/A,N/A
H0300006,HOUSE HEATING FUEL[9] Wood,Housing Subjects,not required, ,0,int,N/A,N/A
H0300007,HOUSE HEATING FUEL[9] Solar energy,Housing Subjects,not required, ,0,int,N/A,N/A
H0300008,HOUSE HEATING FUEL[9] Other fuel,Housing Subjects,not required, ,0,int,N/A,N/A
H0300009,HOUSE HEATING FUEL[9] No fuel used,Housing Subjects,not required, ,0,int,N/A,N/A
H0310001,"BEDROOM[6]/Housing units, No bedroom",Housing Subjects,not required, ,0,int,N/A,N/A
H0310002,"BEDROOM[6]/Housing units, 1 bedroom",Housing Subjects,not required, ,0,int,N/A,N/A
H0310003,"BEDROOM[6]/Housing units, 2 bedrooms",Housing Subjects,not required, ,0,int,N/A,N/A
H0310004,"BEDROOM[6]/Housing units, 3 bedrooms",Housing Subjects,not required, ,0,int,N/A,N/A
H0310005,"BEDROOM[6]/Housing units, 4 bedrooms",Housing Subjects,not required, ,0,int,N/A,N/A
H0310006,"BEDROOM[6]/Housing units, 5 or more bedr",Housing Subjects,not required, ,0,int,N/A,N/A
H0320001,"BEDROOM[12]/Vacant hous uts, No bedroom",Housing Subjects,not required, ,0,int,N/A,N/A
H0320002,"BEDROOM[12]/Vacant hous uts, 1 bedroom",Housing Subjects,not required, ,0,int,N/A,N/A
H0320003,"BEDROOM[12]/Vacant hous uts, 2 bedrooms",Housing Subjects,not required, ,0,int,N/A,N/A
H0320004,"BEDROOM[12]/Vacant hous uts, 3 bedrooms",Housing Subjects,not required, ,0,int,N/A,N/A
H0320005,"BEDROOM[12]/Vacant hous uts, 4 bedrooms",Housing Subjects,not required, ,0,int,N/A,N/A
H0320006,"BEDROOM[12]/Vacant hous uts, 5 or mo bed",Housing Subjects,not required, ,0,int,N/A,N/A
H0330001,TENURE/BEDROOM[12] Own occup: No bedroom,Housing Subjects,not required, ,0,int,N/A,N/A
H0330002,TENURE/BEDROOM[12] Own occup: 1 bedroom,Housing Subjects,not required, ,0,int,N/A,N/A
H0330003,TENURE/BEDROOM[12] Own occup: 2 bedrooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0330004,TENURE/BEDROOM[12] Own occup: 3 bedrooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0330005,TENURE/BEDROOM[12] Own occup: 4 bedrooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0330006,TENURE/BEDROOM[12] Own occu: 5 + bedroom,Housing Subjects,not required, ,0,int,N/A,N/A
H0330007,TENURE/BEDROOM[12] Rent occ: No bedroom,Housing Subjects,not required, ,0,int,N/A,N/A
H0330008,TENURE/BEDROOM[12] Rent occ: 1 bedroom,Housing Subjects,not required, ,0,int,N/A,N/A
H0330009,TENURE/BEDROOM[12] Rent occ: 2 bedrooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0330010,TENURE/BEDROOM[12] Rent occ: 3 bedrooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0330011,TENURE/BEDROOM[12] Rent occ: 4 bedrooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0330012,TENURE/BEDROOM[12] Rent occ: 5+ bedrooms,Housing Subjects,not required, ,0,int,N/A,N/A
H0340001,No bed/With cash rent: Less than $200,Housing Subjects,not required, ,0,int,N/A,N/A
H0340002,No bed/With cash rent: $200 to $299,Housing Subjects,not required, ,0,int,N/A,N/A
H0340003,No bed/With cash rent: $300 to $499,Housing Subjects,not required, ,0,int,N/A,N/A
H0340004,No bed/With cash rent: $500 to $749,Housing Subjects,not required, ,0,int,N/A,N/A
H0340005,No bed/With cash rent: $750 to $999,Housing Subjects,not required, ,0,int,N/A,N/A
H0340006,"No bed/With cash rent: $1,000 or more",Housing Subjects,not required, ,0,int,N/A,N/A
H0340007,No bedroom: No cash rent,Housing Subjects,not required, ,0,int,N/A,N/A
H0340008,1 bed/With cash rent: Less than $200,Housing Subjects,not required, ,0,int,N/A,N/A
H0340009,1 bed/With cash rent: $200 to $299,Housing Subjects,not required, ,0,int,N/A,N/A
H0340010,1 bed/With cash rent: $300 to $499,Housing Subjects,not required, ,0,int,N/A,N/A
H0340011,1 bed/With cash rent: $500 to $749,Housing Subjects,not required, ,0,int,N/A,N/A
H0340012,1 bed/With cash rent: $750 to $999,Housing Subjects,not required, ,0,int,N/A,N/A
H0340013,"1 bed/With cash rent: $1,000 or more",Housing Subjects,not required, ,0,int,N/A,N/A
H0340014,1 bedroom: No cash rent,Housing Subjects,not required, ,0,int,N/A,N/A
H0340015,2 bed/With cash rent: Less than $200,Housing Subjects,not required, ,0,int,N/A,N/A
H0340016,2 bed/With cash rent: $200 to $299,Housing Subjects,not required, ,0,int,N/A,N/A
H0340017,2 bed/With cash rent: $300 to $499,Housing Subjects,not required, ,0,int,N/A,N/A
H0340018,2 bed/With cash rent: $500 to $749,Housing Subjects,not required, ,0,int,N/A,N/A
H0340019,2 bed/With cash rent: $750 to $999,Housing Subjects,not required, ,0,int,N/A,N/A
