"Census Data API: Variables in /data/2000/sf3/variables
Name",Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Values
for,Census API FIPS 'for' clause,Census API Geography Specification,predicate-only, ,0,fips-for,N/A,N/A
FUNCSTAT,Functional Status Code,Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
GCUNI,Geographic Change User Note Indicator,Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
GEOCOMP,Geographic Component,Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
H001001,Total Housing units,H1. Housing Units [1],not required, ,0,(not a predicate),N/A,N/A
H002001,Total: Housing units,H2. Unweighted Sample Housing Units by Occupancy Status [3],not required, ,0,(not a predicate),N/A,N/A
H002002,Total: Occupied,H2. Unweighted Sample Housing Units by Occupancy Status [3],not required, ,0,(not a predicate),N/A,N/A
H002003,Total: Vacant,H2. Unweighted Sample Housing Units by Occupancy Status [3],not required, ,0,(not a predicate),N/A,N/A
H003001,Total Housing units,H3. 100-Percent Count of Housing Units [1],not required, ,0,(not a predicate),N/A,N/A
H004001,Percent of occupied housing units in sample Housing units,H4. Percent of Housing Units in Sample by Occupancy Status [2] (1 Expressed,not required, ,0,(not a predicate),N/A,N/A
H004002,Percent of vacant housing units in sample,H4. Percent of Housing Units in Sample by Occupancy Status [2] (1 Expressed,not required, ,0,(not a predicate),N/A,N/A
H005001,Total: Housing units,H5. Urban and Rural [7],not required, ,0,(not a predicate),N/A,N/A
H005002,Total: Urban:,H5. Urban and Rural [7],not required, ,0,(not a predicate),N/A,N/A
H005003,Total: Urban: Inside urbanized areas,H5. Urban and Rural [7],not required, ,0,(not a predicate),N/A,N/A
H005004,Total: Urban: Inside urban clusters,H5. Urban and Rural [7],not required, ,0,(not a predicate),N/A,N/A
H005005,Total: Rural:,H5. Urban and Rural [7],not required, ,0,(not a predicate),N/A,N/A
H005006,Total: Rural: Farm,H5. Urban and Rural [7],not required, ,0,(not a predicate),N/A,N/A
H005007,Total: Rural: Nonfarm,H5. Urban and Rural [7],not required, ,0,(not a predicate),N/A,N/A
H006001,Total: Housing units,H6. Occupancy Status [3],not required, ,0,(not a predicate),N/A,N/A
H006002,Total: Occupied,H6. Occupancy Status [3],not required, ,0,(not a predicate),N/A,N/A
H006003,Total: Vacant,H6. Occupancy Status [3],not required, ,0,(not a predicate),N/A,N/A
H007001,Total: Occupied housing units,H7. Tenure [3],not required, ,0,(not a predicate),N/A,N/A
H007002,Total: Owner occupied,H7. Tenure [3],not required, ,0,(not a predicate),N/A,N/A
H007003,Total: Renter occupied,H7. Tenure [3],not required, ,0,(not a predicate),N/A,N/A
H008001,Total: Vacant housing units,H8. Vacancy Status [7],not required, ,0,(not a predicate),N/A,N/A
H008002,Total: For rent,H8. Vacancy Status [7],not required, ,0,(not a predicate),N/A,N/A
H008003,Total: For sale only,H8. Vacancy Status [7],not required, ,0,(not a predicate),N/A,N/A
H008004,"Total: Rented or sold, not occupied",H8. Vacancy Status [7],not required, ,0,(not a predicate),N/A,N/A
H008005,"Total: For seasonal, recreational, or occasional use",H8. Vacancy Status [7],not required, ,0,(not a predicate),N/A,N/A
H008006,Total: For migrant workers,H8. Vacancy Status [7],not required, ,0,(not a predicate),N/A,N/A
H008007,Total: Other vacant,H8. Vacancy Status [7],not required, ,0,(not a predicate),N/A,N/A
H009001,Total: Occupied housing units,H9. Race of Householder [8],not required, ,0,(not a predicate),N/A,N/A
H009002,Total: Householder who is White alone,H9. Race of Householder [8],not required, ,0,(not a predicate),N/A,N/A
H009003,Total: Householder who is Black or African American alone,H9. Race of Householder [8],not required, ,0,(not a predicate),N/A,N/A
H009004,Total: Householder who is American Indian and Alaska Native alone,H9. Race of Householder [8],not required, ,0,(not a predicate),N/A,N/A
H009005,Total: Householder who is Asian alone,H9. Race of Householder [8],not required, ,0,(not a predicate),N/A,N/A
H009006,Total: Householder who is Native Hawaiian and Other Pacific Islander alone,H9. Race of Householder [8],not required, ,0,(not a predicate),N/A,N/A
H009007,Total: Householder who is Some other race alone,H9. Race of Householder [8],not required, ,0,(not a predicate),N/A,N/A
H009008,Total: Householder who is Two or more races,H9. Race of Householder [8],not required, ,0,(not a predicate),N/A,N/A
H010001,Total: Occupied housing units,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010002,Total: Not Hispanic or Latino householder:,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010003,Total: Not Hispanic or Latino householder: Householder who is White alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010004,Total: Not Hispanic or Latino householder: Householder who is Black or African American alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010005,Total: Not Hispanic or Latino householder: Householder who is American Indian and Alaska Native alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010006,Total: Not Hispanic or Latino householder: Householder who is Asian alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010007,Total: Not Hispanic or Latino householder: Householder who is Native Hawaiian and Other Pacific Islander alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010008,Total: Not Hispanic or Latino householder: Householder who is Some other race alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010009,Total: Not Hispanic or Latino householder: Householder who is Two or more races,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010010,Total: Hispanic or Latino householder:,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010011,Total: Hispanic or Latino householder: Householder who is White alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010012,Total: Hispanic or Latino householder: Householder who is Black or African American alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010013,Total: Hispanic or Latino householder: Householder who is American Indian and Alaska Native alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010014,Total: Hispanic or Latino householder: Householder who is Asian alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010015,Total: Hispanic or Latino householder: Householder who is Native Hawaiian and Other Pacific Islander alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010016,Total: Hispanic or Latino householder: Householder who is Some other race alone,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H010017,Total: Hispanic or Latino householder: Householder who is Two or more races,H10. Hispanic or Latino Householder by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011001,Total: Occupied housing units,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011002,Total: Owner occupied:,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011003,Total: Owner occupied: Householder who is White alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011004,Total: Owner occupied: Householder who is Black or African American alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011005,Total: Owner occupied: Householder who is American Indian and Alaska Native alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011006,Total: Owner occupied: Householder who is Asian alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011007,Total: Owner occupied: Householder who is Native Hawaiian and Other Pacific Islander alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011008,Total: Owner occupied: Householder who is Some other race alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011009,Total: Owner occupied: Householder who is Two or more races,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011010,Total: Renter occupied:,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011011,Total: Renter occupied: Householder who is White alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011012,Total: Renter occupied: Householder who is Black or African American alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011013,Total: Renter occupied: Householder who is American Indian and Alaska Native alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011014,Total: Renter occupied: Householder who is Asian alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011015,Total: Renter occupied: Householder who is Native Hawaiian and Other Pacific Islander alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011016,Total: Renter occupied: Householder who is Some other race alone,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H011017,Total: Renter occupied: Householder who is Two or more races,H11. Tenure by Race of Householder [17],not required, ,0,(not a predicate),N/A,N/A
H012001,Total: Occupied housing units with a householder who is Hispanic or Latino,H12. Tenure (Hispanic or Latino Householder) [3],not required, ,0,(not a predicate),N/A,N/A
H012002,Total: Owner occupied,H12. Tenure (Hispanic or Latino Householder) [3],not required, ,0,(not a predicate),N/A,N/A
H012003,Total: Renter occupied,H12. Tenure (Hispanic or Latino Householder) [3],not required, ,0,(not a predicate),N/A,N/A
H013001,"Total: Occupied housing units with a householder who is White alone, not Hispanic or Latino","H13. Tenure (White Alone, Not Hispanic or Latino Householder) [3]",not required, ,0,(not a predicate),N/A,N/A
H013002,Total: Owner occupied,"H13. Tenure (White Alone, Not Hispanic or Latino Householder) [3]",not required, ,0,(not a predicate),N/A,N/A
H013003,Total: Renter occupied,"H13. Tenure (White Alone, Not Hispanic or Latino Householder) [3]",not required, ,0,(not a predicate),N/A,N/A
H014001,Total: Occupied housing units,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014002,Total: Owner occupied:,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014003,Total: Owner occupied: Householder 15 to 24 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014004,Total: Owner occupied: Householder 25 to 34 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014005,Total: Owner occupied: Householder 35 to 44 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014006,Total: Owner occupied: Householder 45 to 54 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014007,Total: Owner occupied: Householder 55 to 59 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014008,Total: Owner occupied: Householder 60 to 64 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014009,Total: Owner occupied: Householder 65 to 74 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014010,Total: Owner occupied: Householder 75 to 84 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014011,Total: Owner occupied: Householder 85 years and over,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014012,Total: Renter occupied:,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014013,Total: Renter occupied: Householder 15 to 24 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014014,Total: Renter occupied: Householder 25 to 34 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014015,Total: Renter occupied: Householder 35 to 44 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014016,Total: Renter occupied: Householder 45 to 54 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014017,Total: Renter occupied: Householder 55 to 59 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014018,Total: Renter occupied: Householder 60 to 64 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014019,Total: Renter occupied: Householder 65 to 74 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014020,Total: Renter occupied: Householder 75 to 84 years,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H014021,Total: Renter occupied: Householder 85 years and over,H14. Tenure by Age of Householder [21],not required, ,0,(not a predicate),N/A,N/A
H015001,Total population in occupied housing units: Population in occupied housing units,H15. Total Population in Occupied Housing Units by Tenure [3],not required, ,0,(not a predicate),N/A,N/A
H015002,Total population in occupied housing units: Owner occupied,H15. Total Population in Occupied Housing Units by Tenure [3],not required, ,0,(not a predicate),N/A,N/A
H015003,Total population in occupied housing units: Renter occupied,H15. Total Population in Occupied Housing Units by Tenure [3],not required, ,0,(not a predicate),N/A,N/A
H016001,Total: Occupied housing units,H16. Household Size [8],not required, ,0,(not a predicate),N/A,N/A
H016002,Total: 1-person household,H16. Household Size [8],not required, ,0,(not a predicate),N/A,N/A
H016003,Total: 2-person household,H16. Household Size [8],not required, ,0,(not a predicate),N/A,N/A
H016004,Total: 3-person household,H16. Household Size [8],not required, ,0,(not a predicate),N/A,N/A
H016005,Total: 4-person household,H16. Household Size [8],not required, ,0,(not a predicate),N/A,N/A
H016006,Total: 5-person household,H16. Household Size [8],not required, ,0,(not a predicate),N/A,N/A
H016007,Total: 6-person household,H16. Household Size [8],not required, ,0,(not a predicate),N/A,N/A
H016008,Total: 7-or-more-person household,H16. Household Size [8],not required, ,0,(not a predicate),N/A,N/A
H017001,Total: Occupied housing units,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017002,Total: Owner occupied:,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017003,Total: Owner occupied: 1-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017004,Total: Owner occupied: 2-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017005,Total: Owner occupied: 3-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017006,Total: Owner occupied: 4-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017007,Total: Owner occupied: 5-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017008,Total: Owner occupied: 6-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017009,Total: Owner occupied: 7-or-more-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017010,Total: Renter occupied:,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017011,Total: Renter occupied: 1-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017012,Total: Renter occupied: 2-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017013,Total: Renter occupied: 3-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017014,Total: Renter occupied: 4-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017015,Total: Renter occupied: 5-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017016,Total: Renter occupied: 6-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H017017,Total: Renter occupied: 7-or-more-person household,H17. Tenure by Household Size [17],not required, ,0,(not a predicate),N/A,N/A
H018001,Average household size-- Total Occupied housing units,H18. Average Household Size of Occupied Housing Units by Tenure [3] (2 Expressed,not required, ,0,(not a predicate),N/A,N/A
H018002,Average household size-- Owner occupied,H18. Average Household Size of Occupied Housing Units by Tenure [3] (2 Expressed,not required, ,0,(not a predicate),N/A,N/A
H018003,Average household size-- Renter occupied,H18. Average Household Size of Occupied Housing Units by Tenure [3] (2 Expressed,not required, ,0,(not a predicate),N/A,N/A
H019001,Total: Occupied housing units,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019002,Total: Owner occupied:,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019003,Total: Owner occupied: Family households:,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019004,Total: Owner occupied: Family households: Married-couple family:,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019005,Total: Owner occupied: Family households: Married-couple family: Householder 15 to 24 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019006,Total: Owner occupied: Family households: Married-couple family: Householder 25 to 34 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019007,Total: Owner occupied: Family households: Married-couple family: Householder 35 to 44 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019008,Total: Owner occupied: Family households: Married-couple family: Householder 45 to 54 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019009,Total: Owner occupied: Family households: Married-couple family: Householder 55 to 64 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019010,Total: Owner occupied: Family households: Married-couple family: Householder 65 to 74 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019011,Total: Owner occupied: Family households: Married-couple family: Householder 75 years and over,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019012,Total: Owner occupied: Family households: Other family:,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019013,"Total: Owner occupied: Family households: Other family: Male householder, no wife present:",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019014,"Total: Owner occupied: Family households: Other family: Male householder, no wife present: Householder 15 to 24 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019015,"Total: Owner occupied: Family households: Other family: Male householder, no wife present: Householder 25 to 34 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019016,"Total: Owner occupied: Family households: Other family: Male householder, no wife present: Householder 35 to 44 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019017,"Total: Owner occupied: Family households: Other family: Male householder, no wife present: Householder 45 to 54 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019018,"Total: Owner occupied: Family households: Other family: Male householder, no wife present: Householder 55 to 64 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019019,"Total: Owner occupied: Family households: Other family: Male householder, no wife present: Householder 65 to 74 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019020,"Total: Owner occupied: Family households: Other family: Male householder, no wife present: Householder 75 years and over",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019021,"Total: Owner occupied: Family households: Other family: Female householder, no husband present:",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019022,"Total: Owner occupied: Family households: Other family: Female householder, no husband present: Householder 15 to 24 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019023,"Total: Owner occupied: Family households: Other family: Female householder, no husband present: Householder 25 to 34 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019024,"Total: Owner occupied: Family households: Other family: Female householder, no husband present: Householder 35 to 44 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019025,"Total: Owner occupied: Family households: Other family: Female householder, no husband present: Householder 45 to 54 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019026,"Total: Owner occupied: Family households: Other family: Female householder, no husband present: Householder 55 to 64 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019027,"Total: Owner occupied: Family households: Other family: Female householder, no husband present: Householder 65 to 74 years",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019028,"Total: Owner occupied: Family households: Other family: Female householder, no husband present: Householder 75 years and over",H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019029,Total: Owner occupied: Nonfamily households:,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019030,Total: Owner occupied: Nonfamily households: Male householder:,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019031,Total: Owner occupied: Nonfamily households: Male householder: Living alone:,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019032,Total: Owner occupied: Nonfamily households: Male householder: Living alone: Householder 15 to 24 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019033,Total: Owner occupied: Nonfamily households: Male householder: Living alone: Householder 25 to 34 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019034,Total: Owner occupied: Nonfamily households: Male householder: Living alone: Householder 35 to 44 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019035,Total: Owner occupied: Nonfamily households: Male householder: Living alone: Householder 45 to 54 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019036,Total: Owner occupied: Nonfamily households: Male householder: Living alone: Householder 55 to 64 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019037,Total: Owner occupied: Nonfamily households: Male householder: Living alone: Householder 65 to 74 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019038,Total: Owner occupied: Nonfamily households: Male householder: Living alone: Householder 75 years and over,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019039,Total: Owner occupied: Nonfamily households: Male householder: Not living alone:,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019040,Total: Owner occupied: Nonfamily households: Male householder: Not living alone: Householder 15 to 24 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019041,Total: Owner occupied: Nonfamily households: Male householder: Not living alone: Householder 25 to 34 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019042,Total: Owner occupied: Nonfamily households: Male householder: Not living alone: Householder 35 to 44 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019043,Total: Owner occupied: Nonfamily households: Male householder: Not living alone: Householder 45 to 54 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019044,Total: Owner occupied: Nonfamily households: Male householder: Not living alone: Householder 55 to 64 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019045,Total: Owner occupied: Nonfamily households: Male householder: Not living alone: Householder 65 to 74 years,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
H019046,Total: Owner occupied: Nonfamily households: Male householder: Not living alone: Householder 75 years and over,H19. Tenure by Household Type (Including Living Alone) by Age of Houholder [125],not required, ,0,(not a predicate),N/A,N/A
